,Name,Date,Market_Cap,Market_Cap_Change,Rank,Rank_Change
40641,0x,2017-08-16,67034800,,47.0,
40581,0x,2017-08-17,133813000,99.61721374569626,41.0,6.0
40580,0x,2017-08-18,123335000,-7.8303303864348015,44.0,-3.0
40579,0x,2017-08-19,176747000,43.306441804840475,36.0,8.0
40578,0x,2017-08-20,282777000,59.98970279552128,22.0,14.0
40577,0x,2017-08-21,253364000,-10.401482440226753,24.0,-2.0
40576,0x,2017-08-22,175773000,-30.624319161364678,35.0,-11.0
40575,0x,2017-08-23,182005000,3.5454819568420635,34.0,1.0
40574,0x,2017-08-24,191353000,5.136122633993572,35.0,-1.0
40573,0x,2017-08-25,193716000,1.234890490350295,35.0,0.0
40572,0x,2017-08-26,181011000,-6.558570278139131,38.0,-3.0
40571,0x,2017-08-27,177403000,-1.9932490290645322,37.0,1.0
40570,0x,2017-08-28,176230000,-0.6612064057541304,38.0,-1.0
40569,0x,2017-08-29,170550000,-3.2230607728536573,39.0,-1.0
40568,0x,2017-08-30,180553000,5.865142187041923,39.0,0.0
40496,0x,2017-08-31,165485000,-8.345471966680144,40.0,-1.0
40495,0x,2017-09-01,186388000,12.631356316282444,38.0,2.0
40494,0x,2017-09-02,192270000,3.1557825611090844,39.0,-1.0
40493,0x,2017-09-03,153759000,-20.029645810578874,42.0,-3.0
40492,0x,2017-09-04,142959000,-7.023979084151172,42.0,0.0
40491,0x,2017-09-05,118242000,-17.2895725347827,41.0,1.0
40490,0x,2017-09-06,118267000,0.02114307944723533,42.0,-1.0
40489,0x,2017-09-07,128225000,8.419931172685533,43.0,-1.0
40488,0x,2017-09-08,154852000,20.765841294599337,42.0,1.0
40487,0x,2017-09-09,129211000,-16.5583912380854,42.0,0.0
40409,0x,2017-09-10,129062000,-0.11531525953672676,41.0,1.0
40408,0x,2017-09-11,123419000,-4.372317180889805,42.0,-1.0
40407,0x,2017-09-12,137703000,11.573582673656405,40.0,2.0
40406,0x,2017-09-13,128516000,-6.6716048306863325,41.0,-1.0
40405,0x,2017-09-14,111704000,-13.081639640200443,42.0,-1.0
40404,0x,2017-09-15,88223500,-21.0202857552102,43.0,-1.0
40403,0x,2017-09-16,104408000,18.34488543301955,40.0,3.0
