Name,Date,Close,Volume,Market_Cap
Bitcoin Gold,"Jul 15, 2018",28.15,"11,321,300","488,857,000"
Nano,"Jul 15, 2018",2.37,"3,611,210","306,948,000"
Bitcoin Gold,"Jul 14, 2018",28.61,"6,831,280","471,326,000"
Bitcoin Gold,"Jul 13, 2018",27.59,"11,686,700","506,198,000"
Bitcoin Gold,"Jul 12, 2018",29.43,"8,771,380","466,339,000"
Bitcoin Gold,"Jul 11, 2018",27.25,"8,032,830","469,002,000"
Bitcoin Gold,"Jul 10, 2018",27.40,"8,713,120","521,002,000"
Bitcoin Gold,"Jul 09, 2018",30.76,"12,223,400","521,652,000"
Bitcoin Gold,"Jul 08, 2018",30.46,"9,954,600","530,183,000"
Bitcoin Gold,"Jul 07, 2018",31.24,"15,383,000","511,577,000"
Bitcoin Gold,"Jul 06, 2018",30.02,"12,468,600","490,347,000"
Bitcoin Gold,"Jul 05, 2018",28.64,"11,143,500","508,342,000"
Bitcoin Gold,"Jul 04, 2018",29.69,"12,865,000","491,811,000"
Bitcoin Gold,"Jul 03, 2018",28.76,"13,432,500","499,819,000"
Nano,"Jul 14, 2018",2.30,"3,760,110","312,226,000"
Nano,"Jul 13, 2018",2.35,"4,346,700","309,389,000"
Nano,"Jul 12, 2018",2.32,"4,604,760","323,673,000"
Nano,"Jul 11, 2018",2.41,"3,931,260","311,225,000"
Nano,"Jul 10, 2018",2.33,"5,069,740","341,000,000"
Nano,"Jul 09, 2018",2.56,"5,716,290","361,748,000"
Nano,"Jul 08, 2018",2.71,"5,194,570","365,232,000"
Nano,"Jul 07, 2018",2.76,"4,769,010","352,944,000"
Nano,"Jul 06, 2018",2.66,"4,824,580","351,372,000"
Nano,"Jul 05, 2018",2.65,"6,277,260","360,209,000"
Siacoin,"Jul 15, 2018",0.010266,"5,866,710","362,519,000"
Bitcoin Gold,"Jul 02, 2018",29.34,"16,719,900","460,954,000"
Bitcoin Gold,"Jul 01, 2018",26.97,"12,607,800","450,395,000"
Bitcoin Gold,"Jun 30, 2018",26.30,"12,016,800","416,650,000"
Bitcoin Gold,"Jun 29, 2018",24.39,"9,678,440","400,273,000"
Bitcoin Gold,"Jun 28, 2018",23.40,"9,298,970","422,896,000"
Bitcoin Gold,"Jun 27, 2018",24.71,"8,210,370","416,986,000"
Bitcoin Gold,"Jun 26, 2018",24.40,"9,377,090","439,136,000"
Bitcoin Gold,"Jun 25, 2018",25.69,"8,861,650","410,260,000"
Bitcoin Gold,"Jun 24, 2018",24.04,"12,391,100","439,785,000"
Bitcoin Gold,"Jun 23, 2018",25.77,"9,861,810","449,428,000"
Bitcoin Gold,"Jun 22, 2018",26.32,"12,549,900","540,217,000"
Bitcoin Gold,"Jun 21, 2018",31.74,"11,528,700","542,180,000"
Bitcoin Gold,"Jun 20, 2018",31.76,"12,899,000","567,137,000"
Nano,"Jul 04, 2018",2.69,"4,864,250","339,779,000"
Nano,"Jul 03, 2018",2.55,"8,047,580","361,092,000"
Nano,"Jul 02, 2018",2.72,"7,652,190","330,109,000"
Nano,"Jul 01, 2018",2.45,"5,506,590","325,063,000"
Nano,"Jun 30, 2018",2.44,"6,139,740","307,155,000"
Nano,"Jun 29, 2018",2.29,"4,745,150","284,997,000"
Nano,"Jun 28, 2018",2.13,"5,254,680","297,428,000"
Nano,"Jun 27, 2018",2.23,"6,251,960","292,235,000"
Nano,"Jun 26, 2018",2.20,"3,947,220","318,904,000"
Nano,"Jun 25, 2018",2.40,"5,939,120","310,499,000"
Siacoin,"Jul 14, 2018",0.010116,"5,522,100","364,191,000"
