Name,Date,Close,Volume,Market_Cap
Bitcoin,"Jul 15, 2018",6359.64,"3,285,460,000","107,573,000,000"
Bitcoin,"Jul 14, 2018",6276.12,"2,923,670,000","107,130,000,000"
Bitcoin,"Jul 13, 2018",6238.05,"3,805,400,000","106,906,000,000"
Bitcoin,"Jul 12, 2018",6228.81,"3,770,170,000","109,667,000,000"
Bitcoin,"Jul 11, 2018",6394.71,"3,644,860,000","108,525,000,000"
Bitcoin,"Jul 10, 2018",6329.95,"4,052,430,000","115,514,000,000"
Bitcoin,"Jul 09, 2018",6741.75,"3,718,130,000","116,118,000,000"
Bitcoin,"Jul 08, 2018",6773.88,"3,386,210,000","117,522,000,000"
Bitcoin,"Jul 07, 2018",6856.93,"3,961,080,000","114,268,000,000"
Bitcoin,"Jul 06, 2018",6673.50,"4,313,960,000","113,741,000,000"
Bitcoin,"Jul 05, 2018",6639.14,"4,999,240,000","113,062,000,000"
Bitcoin,"Jul 04, 2018",6597.55,"4,176,690,000","112,214,000,000"
Bitcoin,"Jul 03, 2018",6529.59,"4,672,310,000","112,989,000,000"
Bitcoin,"Jul 02, 2018",6614.18,"4,396,930,000","109,273,000,000"
Bitcoin,"Jul 01, 2018",6385.82,"4,788,260,000","109,797,000,000"
Bitcoin,"Jun 30, 2018",6404.00,"4,543,860,000","106,405,000,000"
Bitcoin,"Jun 29, 2018",6218.30,"3,966,230,000","100,981,000,000"
Bitcoin,"Jun 28, 2018",5903.44,"3,467,800,000","105,336,000,000"
Bitcoin,"Jun 27, 2018",6157.13,"3,296,220,000","104,149,000,000"
Bitcoin,"Jun 26, 2018",6093.67,"3,279,760,000","107,033,000,000"
Bitcoin,"Jun 25, 2018",6249.18,"5,500,810,000","105,625,000,000"
Bitcoin,"Jun 24, 2018",6173.23,"4,566,910,000","105,480,000,000"
Bitcoin,"Jun 23, 2018",6162.48,"3,431,360,000","104,198,000,000"
Bitcoin,"Jun 22, 2018",6083.69,"5,079,810,000","115,269,000,000"
Bitcoin,"Jun 21, 2018",6729.74,"3,529,130,000","115,977,000,000"
Bitcoin,"Jun 20, 2018",6776.55,"3,888,640,000","115,804,000,000"
Bitcoin,"Jun 19, 2018",6769.94,"4,057,030,000","115,306,000,000"
Bitcoin,"Jun 18, 2018",6734.82,"4,039,200,000","111,319,000,000"
Bitcoin,"Jun 17, 2018",6499.27,"3,104,020,000","111,913,000,000"
Bitcoin,"Jun 16, 2018",6550.16,"3,194,170,000","110,359,000,000"
Aeternity,"Jul 15, 2018",1.76,"5,554,860","395,566,000"
Aeternity,"Jul 14, 2018",1.70,"3,963,970","395,697,000"
Aeternity,"Jul 13, 2018",1.70,"6,051,460","390,260,000"
Aeternity,"Jul 12, 2018",1.66,"4,787,970","408,571,000"
